Champion,StartDate,EndDate,Duration,NumOfMatches,Category,Won,Lost,TotalDurationFrom,TotalDurationTo
niigata,2005/07/17,2005/08/24 00:00:00,38,3,Ｊ１,nagoya,kashima,211,249
kashima,2005/08/24,2005/08/27 00:00:00,3,1,Ｊ１,niigata,tokyov,499,502
tokyov,2005/08/27,2005/09/03 00:00:00,7,1,Ｊ１,kashima,gosaka,356,363
gosaka,2005/09/03,2005/09/17 00:00:00,14,2,Ｊ１,tokyov,kashiwa,84,98
kashiwa,2005/09/17,2005/09/24 00:00:00,7,1,Ｊ１,gosaka,iwata,301,308
iwata,2005/09/24,2005/10/29 00:00:00,35,4,Ｊ１,kashiwa,hiroshima,442,477
hiroshima,2005/10/29,2005/11/12 00:00:00,14,1,Ｊ１,iwata,oita,127,141
oita,2005/11/12,2005/12/03 00:00:00,21,4,Ｊ１,hiroshima,tokyov,84,105
tokyov,2005/12/03,2006/03/11 00:00:00,98,2,Ｊ１,oita,shonan,363,461
shonan,2006/03/11,2006/03/18 00:00:00,7,1,Ｊ２,tokyov,mito,130,137
mito,2006/03/18,2006/03/21 00:00:00,3,1,Ｊ２,shonan,kobe,8,11
kobe,2006/03/21,2006/03/25 00:00:00,4,1,Ｊ２,mito,tokushima,108,112
tokushima,2006/03/25,2006/04/01 00:00:00,7,1,Ｊ２,kobe,ehime,0,7
ehime,2006/04/01,2006/04/05 00:00:00,4,1,Ｊ２,tokushima,kashiwa,0,4
kashiwa,2006/04/05,2006/04/08 00:00:00,3,1,Ｊ２,ehime,yokohamafc,308,311
yokohamafc,2006/04/08,2006/06/02 00:00:00,55,10,Ｊ２,kashiwa,mito,29,84
mito,2006/06/02,2006/06/11 00:00:00,9,2,Ｊ２,yokohamafc,kobe,11,20
kobe,2006/06/11,2006/07/16 00:00:00,35,7,Ｊ２,mito,kashiwa,112,147
kashiwa,2006/07/16,2006/08/12 00:00:00,27,4,Ｊ２,kobe,tosu,311,338
tosu,2006/08/12,2006/08/23 00:00:00,11,1,Ｊ２,kashiwa,kobe,18,29
kobe,2006/08/23,2006/09/30 00:00:00,38,7,Ｊ２,tosu,tokyov,147,185
